a         b             c             f(a)          f(b)         f(c)         
0.010000  0.50000       0.25500       -0.03591      64.10514     3.68124      
0.010000  0.25500       0.13250       -0.03591      3.68124      0.08068      
0.010000  0.13250       0.07125       -0.03591      0.08068      -0.15855     
0.071250  0.13250       0.10188       -0.15855      0.08068      -0.10570     
0.101875  0.13250       0.11719       -0.10570      0.08068      -0.03262     
0.117188  0.13250       0.12484       -0.03262      0.08068      0.01852      
0.117188  0.12484       0.12102       -0.03262      0.01852      -0.00836     
0.121016  0.12484       0.12293       -0.00836      0.01852      0.00474      
0.121016  0.12293       0.12197       -0.00836      0.00474      -0.00189     
0.121973  0.12293       0.12245       -0.00189      0.00474      0.00140      
0.121973  0.12245       0.12221       -0.00189      0.00140      -0.00025     
