a          b             c             f(a)          f(b)         f(c)         
0.010000     0.500000     0.010274     -0.035906    64.105137    -0.036852    
0.010274     0.500000     0.010556     -0.036852    64.105137    -0.037820    
0.010556     0.500000     0.010844     -0.037820    64.105137    -0.038810    
0.010844     0.500000     0.011140     -0.038810    64.105137    -0.039823    
0.011140     0.500000     0.011444     -0.039823    64.105137    -0.040859    
0.011444     0.500000     0.011755     -0.040859    64.105137    -0.041919    
0.011755     0.500000     0.012074     -0.041919    64.105137    -0.043002    
0.012074     0.500000     0.012401     -0.043002    64.105137    -0.044108    
0.012401     0.500000     0.012736     -0.044108    64.105137    -0.045240    
0.012736     0.500000     0.013080     -0.045240    64.105137    -0.046395    
0.013080     0.500000     0.013432     -0.046395    64.105137    -0.047576    
